CUMUN,CPRO,NPRO,NMUN,AREA_GEO,ID_AREA_GEO,POB_AREA_GEO,COD_LITERAL_SCD,ID_GRUPO,POB_GRUPO,ID_COMPLETO_GRUPO,,
02081,02,Albacete,Villarrobledo,MUNICIPIO,02081,25184,,22AB,25184,02081Villarrobledo,,
02003,02,Albacete,Albacete,DISTRITO,0200301,25498,,23AB,25498,0200301Albacete,,
02003,02,Albacete,Albacete,DISTRITO,0200302,39579,,24AB,39579,0200302Albacete,,
02003,02,Albacete,Albacete,DISTRITO,0200303,20506,,25AB,20506,0200303Albacete,,
02003,02,Albacete,Albacete,DISTRITO,0200304,19920,,26AB,19920,0200304Albacete,,
02003,02,Albacete,Albacete,DISTRITO,0200305,16970,,27AB,16970,0200305Albacete,,
02003,02,Albacete,Albacete,DISTRITO,0200306,17967,,28AB,17967,0200306Albacete,,
02003,02,Albacete,Albacete,DISTRITO,0200307,26607,,29AB,26607,0200307Albacete,,
03012,03,Alicante,Algorfa,MUNICIPIO,03012,2935,,001A,7903,03012Algorfa,,
03903,03,Alicante,"Montesinos, Los",MUNICIPIO,03903,4968,,001A,7903,"03903Montesinos, Los",,
03034,03,Alicante,Benijófar,MUNICIPIO,03034,3322,,002A,9940,03034Benijófar,,
03061,03,Alicante,Daya Nueva,MUNICIPIO,03061,1737,,002A,9940,03061Daya Nueva,,
03062,03,Alicante,Daya Vieja,MUNICIPIO,03062,690,,002A,9940,03062Daya Vieja,,
03070,03,Alicante,Formentera del Segura,MUNICIPIO,03070,4191,,002A,9940,03070Formentera del Segura,,
03044,03,Alicante,Bigastro,MUNICIPIO,03044,6733,,003A,8755,03044Bigastro,,
03080,03,Alicante,Jacarilla,MUNICIPIO,03080,2022,,003A,8755,03080Jacarilla,,
03025,03,Alicante,Benferri,MUNICIPIO,03025,1942,,004A,11819,03025Benferri,,
03058,03,Alicante,Cox,MUNICIPIO,03058,7297,,004A,11819,03058Cox,,
03074,03,Alicante,Granja de Rocamora,MUNICIPIO,03074,2580,,004A,11819,03074Granja de Rocamora,,
03005,03,Alicante,Albatera,MUNICIPIO,03005,12279,,005A,14265,03005Albatera,,
03904,03,Alicante,San Isidro,MUNICIPIO,03904,1986,,005A,14265,03904San Isidro,,
03013,03,Alicante,Algueña,MUNICIPIO,03013,1336,,006A,7512,03013Algueña,,
03077,03,Alicante,"Fondó de les Neus, el/Hondón de las Nieves",MUNICIPIO,03077,2544,,006A,7512,"03077Fondó de les Neus, el/Hondón de las Nieves",,
03078,03,Alicante,Hondón de los Frailes,MUNICIPIO,03078,1198,,006A,7512,03078Hondón de los Frailes,,
03114,03,Alicante,"Romana, la",MUNICIPIO,03114,2434,,006A,7512,"03114Romana, la",,
03116,03,Alicante,Salinas,MUNICIPIO,03116,1601,,007A,11446,03116Salinas,,
03123,03,Alicante,Sax,MUNICIPIO,03123,9845,,007A,11446,03123Sax,,
03066,03,Alicante,Elda,DISTRITO,0306602,5653,,008A,7090,0306602Elda,,
03066,03,Alicante,Elda,DISTRITO,0306603,1437,,008A,7090,0306603Elda,,
03002,03,Alicante,Agost,MUNICIPIO,03002,4758,,009A,6372,03002Agost,,
03129,03,Alicante,Tibi,MUNICIPIO,03129,1614,,009A,6372,03129Tibi,,
03023,03,Alicante,Beneixama,MUNICIPIO,03023,1685,,010A,6991,03023Beneixama,,
03043,03,Alicante,Biar,MUNICIPIO,03043,3671,,010A,6991,03043Biar,,
03051,03,Alicante,"Campo de Mirra/Camp de Mirra, el",MUNICIPIO,03051,415,,010A,6991,"03051Campo de Mirra/Camp de Mirra, el",,
03052,03,Alicante,Cañada,MUNICIPIO,03052,1220,,010A,6991,03052Cañada,,
03004,03,Alicante,Aigües,MUNICIPIO,03004,963,,011A,5837,03004Aigües,,
03046,03,Alicante,Busot,MUNICIPIO,03046,2978,,011A,5837,03046Busot,,
03098,03,Alicante,Orxeta,MUNICIPIO,03098,736,,011A,5837,03098Orxeta,,
03112,03,Alicante,Relleu,MUNICIPIO,03112,1160,,011A,5837,03112Relleu,,
03009,03,Alicante,Alcoy/Alcoi,DISTRITO,0300908,10351,,012A,10456,0300908Alcoy/Alcoi,,
03032,03,Alicante,Benifallim,MUNICIPIO,03032,105,,012A,10456,03032Benifallim,,
03008,03,Alicante,Alcoleja,MUNICIPIO,03008,173,,013A,5050,03008Alcoleja,,
03022,03,Alicante,Benasau,MUNICIPIO,03022,151,,013A,5050,03022Benasau,,
03027,03,Alicante,Beniardá,MUNICIPIO,03027,232,,013A,5050,03027Beniardá,,
03033,03,Alicante,Benifato,MUNICIPIO,03033,140,,013A,5050,03033Benifato,,
03035,03,Alicante,Benilloba,MUNICIPIO,03035,724,,013A,5050,03035Benilloba,,
03037,03,Alicante,Benimantell,MUNICIPIO,03037,483,,013A,5050,03037Benimantell,,
03054,03,Alicante,Castell de Castells,MUNICIPIO,03054,449,,013A,5050,03054Castell de Castells,,
03057,03,Alicante,Confrides,MUNICIPIO,03057,187,,013A,5050,03057Confrides,,
03060,03,Alicante,Quatretondeta,MUNICIPIO,03060,122,,013A,5050,03060Quatretondeta,,
03067,03,Alicante,Facheca,MUNICIPIO,03067,106,,013A,5050,03067Facheca,,
03068,03,Alicante,Famorca,MUNICIPIO,03068,47,,013A,5050,03068Famorca,,
03073,03,Alicante,Gorga,MUNICIPIO,03073,249,,013A,5050,03073Gorga,,
03075,03,Alicante,"Castell de Guadalest, el",MUNICIPIO,03075,217,,013A,5050,"03075Castell de Guadalest, el",,
03086,03,Alicante,Millena,MUNICIPIO,03086,237,,013A,5050,03086Millena,,
03103,03,Alicante,Penàguila,MUNICIPIO,03103,292,,013A,5050,03103Penàguila,,
03124,03,Alicante,Sella,MUNICIPIO,03124,580,,013A,5050,03124Sella,,
03132,03,Alicante,"Torremanzanas/Torre de les Maçanes, la",MUNICIPIO,03132,661,,013A,5050,"03132Torremanzanas/Torre de les Maçanes, la",,
03001,03,Alicante,Adsubia,MUNICIPIO,03001,632,,014A,5570,03001Adsubia,,
03007,03,Alicante,Alcocer de Planes,MUNICIPIO,03007,230,,014A,5570,03007Alcocer de Planes,,
03016,03,Alicante,Almudaina,MUNICIPIO,03016,113,,014A,5570,03016Almudaina,,
03020,03,Alicante,Balones,MUNICIPIO,03020,131,,014A,5570,03020Balones,,
03028,03,Alicante,Beniarrés,MUNICIPIO,03028,1118,,014A,5570,03028Beniarrés,,
03036,03,Alicante,Benillup,MUNICIPIO,03036,97,,014A,5570,03036Benillup,,
03038,03,Alicante,Benimarfull,MUNICIPIO,03038,409,,014A,5570,03038Benimarfull,,
03039,03,Alicante,Benimassot,MUNICIPIO,03039,106,,014A,5570,03039Benimassot,,
03072,03,Alicante,Gaianes,MUNICIPIO,03072,452,,014A,5570,03072Gaianes,,
03084,03,Alicante,"Lorcha/Orxa, l'",MUNICIPIO,03084,578,,014A,5570,"03084Lorcha/Orxa, l'",,
03106,03,Alicante,Planes,MUNICIPIO,03106,693,,014A,5570,03106Planes,,
03130,03,Alicante,Tollos,MUNICIPIO,03130,57,,014A,5570,03130Tollos,,
03134,03,Alicante,"Vall d'Alcalà, la",MUNICIPIO,03134,167,,014A,5570,"03134Vall d'Alcalà, la",,
03135,03,Alicante,"Vall d'Ebo, la",MUNICIPIO,03135,216,,014A,5570,"03135Vall d'Ebo, la",,
03136,03,Alicante,Vall de Gallinera,MUNICIPIO,03136,571,,014A,5570,03136Vall de Gallinera,,
03003,03,Alicante,Agres,MUNICIPIO,03003,565,,015A,10792,03003Agres,,
03010,03,Alicante,Alfafara,MUNICIPIO,03010,410,,015A,10792,03010Alfafara,,
03017,03,Alicante,"Alqueria d'Asnar, l'",MUNICIPIO,03017,493,,015A,10792,"03017Alqueria d'Asnar, l'",,
03092,03,Alicante,Muro de Alcoy,MUNICIPIO,03092,9324,,015A,10792,03092Muro de Alcoy,,
03138,03,Alicante,"Verger, el",MUNICIPIO,03138,4640,,016A,7345,"03138Verger, el",,
03901,03,Alicante,"Poblets, els",MUNICIPIO,03901,2705,,016A,7345,"03901Poblets, els",,
03026,03,Alicante,Beniarbeig,MUNICIPIO,03026,2092,,017A,5673,03026Beniarbeig,,
03030,03,Alicante,Benidoleig,MUNICIPIO,03030,1095,,017A,5673,03030Benidoleig,,
03040,03,Alicante,Benimeli,MUNICIPIO,03040,418,,017A,5673,03040Benimeli,,
03110,03,Alicante,"Ràfol d'Almúnia, el",MUNICIPIO,03110,653,,017A,5673,"03110Ràfol d'Almúnia, el",,
03115,03,Alicante,Sagra,MUNICIPIO,03115,408,,017A,5673,03115Sagra,,
03117,03,Alicante,Sanet y Negrals,MUNICIPIO,03117,667,,017A,5673,03117Sanet y Negrals,,
03131,03,Alicante,Tormos,MUNICIPIO,03131,340,,017A,5673,03131Tormos,,
03006,03,Alicante,Alcalalí,MUNICIPIO,03006,1278,,018A,5536,03006Alcalalí,,
03081,03,Alicante,Xaló,MUNICIPIO,03081,2739,,018A,5536,03081Xaló,,
03085,03,Alicante,Llíber,MUNICIPIO,03085,935,,018A,5536,03085Llíber,,
03125,03,Alicante,Senija,MUNICIPIO,03125,584,,018A,5536,03125Senija,,
03029,03,Alicante,Benigembla,MUNICIPIO,03029,490,,019A,5975,03029Benigembla,,
03045,03,Alicante,Bolulla,MUNICIPIO,03045,420,,019A,5975,03045Bolulla,,
03091,03,Alicante,Murla,MUNICIPIO,03091,470,,019A,5975,03091Murla,,
03097,03,Alicante,Orba,MUNICIPIO,03097,2174,,019A,5975,03097Orba,,
03100,03,Alicante,Parcent,MUNICIPIO,03100,929,,019A,5975,03100Parcent,,
03127,03,Alicante,Tàrbena,MUNICIPIO,03127,646,,019A,5975,03127Tàrbena,,
03137,03,Alicante,"Vall de Laguar, la",MUNICIPIO,03137,846,,019A,5975,"03137Vall de Laguar, la",,
03042,03,Alicante,"Benitachell/Poble Nou de Benitatxell, el",MUNICIPIO,03042,4276,,020A,15388,"03042Benitachell/Poble Nou de Benitatxell, el",,
03128,03,Alicante,Teulada,MUNICIPIO,03128,11112,,020A,15388,03128Teulada,,
03099,03,Alicante,Orihuela,DISTRITO,0309908,5598,,021A,10096,0309908Orihuela,,
